username,text,hashtags
AgustDrligion,#helpindiabreathe help us please this is heartbreaking to watch 😭 https://t.co/4YlAG7DpH3,"[{'text': 'helpindiabreathe', 'indices': [0, 17]}]"
wildflowrw,"@ShawnMendes @JayShettyIW @IndiasporaForum Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe",[]
Arunjyoti714266,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
Shiva_D_Leon,"@CMOGuj @vijayrupanibjp I have huge respect for Doctors..🙌🙏

But also think that not only doctors are in Frontline Corona warriors so think also about peramedical staff and give also renumeration to them...

#Nurses #NursesLivesMatter #helpindiabreathe #wewantjustice @Nitinbhai_Patel @ikumarkanani#plz","[{'text': 'Nurses', 'indices': [208, 215]}, {'text': 'NursesLivesMatter', 'indices': [216, 234]}, {'text': 'helpindiabreathe', 'indices': [235, 252]}, {'text': 'wewantjustice', 'indices': [253, 267]}]"
Northwestern_IO,The Indian Graduate Student and Scholars Association at @Northwesternu has joined forces with other university groups across the US to raise funds to provide essential supplies in India. #helpindiabreathe https://t.co/9b1vBsRyZB @BuffettInst @Northwestern_IO https://t.co/UwsVTtSFzF,[]
RUNCH02,"So grateful to my dear friend @ShawnMendes for supporting our fundraiser for @GiveIndia If anyone in Canada is struggling to donate, please swipe up and donate here https://t.co/SBfWouh6X7 #helpindiabreathe",[]
treetopsec,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
itsSadabKhan,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
ervadosm,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
JayShettyIW,"Thank you @JayShettyIW ♥️
We are very grateful for your support in India's Covid-19 fight 🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe
https://t.co/uuzyG6Kiqh","[{'text': 'TogetherForIndia', 'indices': [108, 125]}]"
YoCloudCrackers,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
GiveIndia,"Thank you @JayShettyIW ♥️
We are very grateful for your support in India's Covid-19 fight 🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe
https://t.co/uuzyG6Kiqh","[{'text': 'TogetherForIndia', 'indices': [93, 110]}, {'text': 'IndiaFightsCorona', 'indices': [111, 129]}, {'text': 'helpindiabreathe', 'indices': [130, 147]}]"
adrianmoussaid,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
GoDharmic,"50 Oxygen cylinders heading to hospitals with a desperate requirement for #oxygen supplies in #Gujarat 

#OxygenEmergency #OxygenCylinders #helpindiabreathe #helpindia #NGOs https://t.co/BkNlefVEeu","[{'text': 'oxygen', 'indices': [74, 81]}, {'text': 'Gujarat', 'indices': [94, 102]}, {'text': 'OxygenEmergency', 'indices': [105, 121]}, {'text': 'OxygenCylinders', 'indices': [122, 138]}, {'text': 'helpindiabreathe', 'indices': [139, 156]}, {'text': 'helpindia', 'indices': [157, 167]}, {'text': 'NGOs', 'indices': [168, 173]}]"
booksnsunsets,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
sandipdotin,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
Raj_Ranga2002,"#DonateForOxygen , Guys In This Tough Times,  A Humble Request To All ,There  some Genuine Online Help Foundations &amp; Fund Collectors for Needy , Pitch in Whtevr U can for Their Medical, Basic, &amp; Covid Needs ,I Did My Part , Each one Help one Humble Request 🙏🙏
#helpindiabreathe https://t.co/szCMWW91wC","[{'text': 'DonateForOxygen', 'indices': [0, 16]}, {'text': 'helpindiabreathe', 'indices': [268, 285]}]"
AnasShareef93,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
AnshuChhibber,"So grateful to my dear friend @ShawnMendes for supporting our fundraiser for @GiveIndia If anyone in Canada is struggling to donate, please swipe up and donate here https://t.co/SBfWouh6X7 #helpindiabreathe",[]
PokeMoshimon,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
